task,check,result,overlap_count
exam_score,target absent from features,True,
exam_score,train/validation exact feature overlap,False,1.0
exam_score,train/validation conflicting targets for shared features,False,1.0
exam_score,train/test exact feature overlap,False,1.0
exam_score,train/test conflicting targets for shared features,True,0.0
exam_score,validation/test exact feature overlap,True,0.0
exam_score,validation/test conflicting targets for shared features,True,0.0
placement,target absent from features,True,
placement,train/validation exact feature overlap,True,0.0
placement,train/validation conflicting targets for shared features,True,0.0
placement,train/test exact feature overlap,True,0.0
placement,train/test conflicting targets for shared features,True,0.0
placement,validation/test exact feature overlap,True,0.0
placement,validation/test conflicting targets for shared features,True,0.0
